airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
CLE,arr,stress_20250415_0519,3992,3958,34.0,797.0,7883.0,35,114.05714285714286,0.008517034068136272,0.2013643254168772,1.9746993987975952
CLE,dep,cap_20250616_1025,14846,14540,306.0,2694.0,65785.0,132,112.46969696969697,0.020611612555570525,0.18528198074277855,4.431159908392833
CLE,dep,extension_20251026_1231,7148,6959,189.0,1480.0,43294.0,67,106.68656716417911,0.026440962506994965,0.21267423480385111,6.056799104644655
CLE,dep,interim_20250520_0615,3153,3132,21.0,555.0,16223.0,27,116.77777777777777,0.006660323501427212,0.1772030651340996,5.145258483983508
CLE,dep,pre_20250101_0414,10833,10645,188.0,1748.0,46266.0,104,104.16346153846153,0.01735438013477338,0.16420854861437295,4.270839102741623
CLE,dep,stress_20250415_0519,3987,3944,43.0,669.0,20552.0,35,113.91428571428571,0.010785051417105593,0.16962474645030426,5.154752947078004
CLT,arr,cap_20250616_1025,68654,67701,953.0,13024.0,148092.0,132,520.1060606060606,0.01388120138666356,0.1923752972629651,2.1570775191540186
CLT,arr,extension_20251026_1231,32924,32524,400.0,6351.0,76945.0,67,491.4029850746269,0.012149192078726764,0.19527118435616775,2.3370489612440775
CLT,arr,interim_20250520_0615,15166,14982,184.0,3233.0,38862.0,27,561.7037037037037,0.012132401424238428,0.2157922840742224,2.562442305156271
CLT,arr,pre_20250101_0414,58487,56805,1682.0,10818.0,119853.0,104,562.375,0.028758527536033647,0.19044098230789544,2.04922461401679
CLT,arr,stress_20250415_0519,20197,19933,264.0,4073.0,48641.0,35,577.0571428571428,0.013071248205178987,0.20433452064415794,2.4083279695004207
CLT,dep,cap_20250616_1025,68645,67727,918.0,17715.0,210668.0,132,520.0378787878788,0.013373151722630927,0.2615648116703826,3.0689489401995775
CLT,dep,extension_20251026_1231,32937,32573,364.0,7637.0,82888.0,67,491.5970149253731,0.011051401159789902,0.23445798667608142,2.516561921243586
CLT,dep,interim_20250520_0615,15173,14979,194.0,3801.0,53436.0,27,561.9629629629629,0.01278586963685494,0.2537552573603044,3.5217821129638174
CLT,dep,pre_20250101_0414,58479,56861,1618.0,12166.0,157344.0,104,562.2980769230769,0.027668051779271192,0.21396035947310107,2.690606884522649
CLT,dep,stress_20250415_0519,20191,19945,246.0,4800.0,78008.0,35,576.8857142857142,0.01218364617899064,0.2406618200050138,3.8635035411817147
CMH,arr,cap_20250616_1025,16670,16396,274.0,4039.0,45991.0,132,126.28787878787878,0.016436712657468506,0.24634057087094413,2.758908218356329
CMH,arr,extension_20251026_1231,7962,7804,158.0,1860.0,20269.0,67,118.83582089552239,0.019844260236121576,0.23833931317273194,2.5457171564933434
CMH,arr,interim_20250520_0615,3423,3405,18.0,911.0,10247.0,27,126.77777777777777,0.0052585451358457495,0.2675477239353891,2.993572889278411
CMH,arr,pre_20250101_0414,11930,11766,164.0,2378.0,28715.0,104,114.71153846153847,0.01374685666387259,0.202107768145504,2.4069572506286674
CMH,arr,stress_20250415_0519,4424,4373,51.0,1018.0,14638.0,35,126.4,0.011528028933092224,0.23279213354676423,3.3087703435804703
