airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
EWR,arr,cap_20250616_1025,44220,43039,1181.0,12039.0,595741.0,132,335.0,0.02670737222976029,0.2797230418922373,13.472207146087744
EWR,arr,extension_20251026_1231,23236,22420,816.0,6394.0,273238.0,67,346.8059701492537,0.03511792046823894,0.2851917930419269,11.759252883456705
EWR,arr,interim_20250520_0615,7459,7425,34.0,1904.0,78223.0,27,276.25925925925924,0.00455825177637753,0.25643097643097645,10.487062608928811
EWR,arr,pre_20250101_0414,34773,34297,476.0,6713.0,173879.0,104,334.3557692307692,0.013688781525896528,0.19573140507916145,5.00040261122135
EWR,arr,stress_20250415_0519,10656,10100,556.0,4736.0,432617.0,35,304.45714285714286,0.052177177177177174,0.4689108910891089,40.598442192192195
EWR,dep,cap_20250616_1025,44225,43060,1165.0,9982.0,248185.0,132,335.0378787878788,0.02634256642170718,0.23181607059916395,5.611871113623516
EWR,dep,extension_20251026_1231,23170,22347,823.0,5547.0,151439.0,67,345.82089552238807,0.03552006905481226,0.24822123775003357,6.535994820889081
EWR,dep,interim_20250520_0615,7457,7427,30.0,1319.0,40275.0,27,276.18518518518516,0.004023065575968888,0.1775952605358826,5.400965535738233
EWR,dep,pre_20250101_0414,34771,34332,439.0,6227.0,135533.0,104,334.33653846153845,0.012625463748526071,0.18137597576604916,3.8978746656696672
EWR,dep,stress_20250415_0519,10663,10092,571.0,3193.0,95542.0,35,304.65714285714284,0.0535496576948326,0.3163892191835117,8.960142549001219
FLL,arr,cap_20250616_1025,27788,27495,293.0,6502.0,105210.0,132,210.5151515151515,0.010544119763926874,0.2364793598836152,3.7861666906578377
FLL,arr,extension_20251026_1231,17840,17427,413.0,5193.0,111191.0,67,266.2686567164179,0.023150224215246637,0.2979858839731451,6.2326793721973095
FLL,arr,interim_20250520_0615,5783,5760,23.0,1393.0,27074.0,27,214.1851851851852,0.003977174476915096,0.24184027777777778,4.681653121217361
