month,side,counterpart,carrier,carrier_group,departures_performed,seats,passengers,distance
1,dep,MIA,AA,Other carriers,124.0,21716.0,18474.0,1085.0
1,dep,MIA,DL,Other carriers,2.0,144.0,110.0,1085.0
1,dep,MIA,NK,Other carriers,55.0,9680.0,7704.0,1085.0
1,dep,MIA,UA,United,243.0,42912.0,36133.0,1085.0
1,dep,MKE,DL,Other carriers,3.0,216.0,63.0,725.0
1,dep,MKE,GCA,Other carriers,1.0,68.0,59.0,725.0
1,dep,MKE,YX,Other carriers,59.0,4286.0,3427.0,725.0
1,dep,MKE,ZW,Other carriers,1.0,50.0,0.0,725.0
1,dep,MSN,SY,Other carriers,1.0,186.0,46.0,799.0
1,dep,MSN,UA,United,6.0,956.0,711.0,799.0
1,dep,MSN,YX,Other carriers,24.0,1824.0,1424.0,799.0
1,dep,MSP,DL,Other carriers,91.0,10112.0,8155.0,1008.0
1,dep,MSP,MX,Other carriers,1.0,137.0,32.0,1008.0
1,dep,MSP,SY,Other carriers,8.0,1488.0,1239.0,1008.0
